Reference, Quantity, Value, Footprint, Datasheet, Description, Digi-Key_PN, MPN, Manufacturer
C1 ,1,ECE-A1HN101U,Capacitor_THT:CP_Radial_D10.0mm_P5.00mm,https://industrial.panasonic.com/cdbs/www-data/pdf/RDF0000/ABA0000C1053.pdf,100uF 50V 20%,,,
C2 C10 ,2,C324C106K3R5TA,Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm,~,10uF 25V 10%,,,
C3 C11 ,2,K104Z15Y5VE5TL2,Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm,~,"0.1uF 25V -20%,+80%",,,
C4 C5 ,2,ECA-1EM100B,Capacitor_THT:CP_Radial_Tantal_D5.0mm_P5.00mm,"https://media.digikey.com/pdf/Data%20Sheets/Panasonic%20Electronic%20Components/ECA-xxM%20Series,TypeA.pdf",10uF 25V 20%,,,
C8 ,1,EEU-FC1H102L,Capacitor_THT:CP_Radial_D12.5mm_P5.00mm,https://industrial.panasonic.com/ww/products/pt/aluminum-cap-lead/models/EEUFC1H102L,50V 20% 1000uF,,,
D1 D2 D3 D4 D5 D6 ,6,1N4148,Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal,https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf,100V 200mA ,1N4148FS-ND,,
H1 H2 H3 H4 ,4,MountingHole,MountingHole:MountingHole_4.3mm_M4,~,,,,
J3 ,1,Amp_Power,"TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",https://media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/1935161.pdf,,277-1667-ND,,
Q1 Q2 Q3 Q4 ,4,IRF530A,digikey-footprints:TO-220-3,https://rocelec.widen.net/view/pdf/wku7npczbd/FAIRS05939-1.pdf?t.download=true&u=5oefqw,MOSFET N-CH 100V 14A TO-220AB,2156-IRF530A-ND,IRF530A,Infineon Technologies
R1 ,1,MFP-25BRD52-1K,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~,1k ohm 1% 1/4w,,,
R10 R11 ,2,CFR-25JB-52-470R,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~,470 ohm 5% 1/4W,,,
R2 R3 R8 R9 ,4,CFR-25JR-52-100R,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~,100 ohm 5% 1/4W,,,
R4 R5 R6 R7 ,4,CFR50SJT-52-10K,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,~,10k ohm 5% 1/4W,,,
TP1 TP2 TP3 TP4 ,4,TestPoint,TestPoint:TestPoint_THTPad_D2.0mm_Drill1.0mm,~,,,,
U1 ,1,HIP4082IP,Package_DIP:DIP-16_W7.62mm,https://www.renesas.com/www/doc/datasheet/hip4082.pdf,Full bridge gate driver,2156-HIP4082IP-IL-ND,,
